NOTE:  Columns 2-5 below contain the following output data 
 
    Column 2:   conditional probabilities P(at least one bank from G1 going default|all banks in G2 default)
    Column 3:   conditional probabilities P(at least one bank from G2 going default|all banks in G1 default)
    Column 4:   conditional probabilities P(all banks in G1 going default|all banks in G2 default)
    Column 5:   conditional probabilities P(all banks in G2 going default|all banks in G1 default)
 
where G1 is quadGroup1 defined in the setting file and G2 consists of all the banks not in G1. In this case
    G1=(DIA   &   SYS )
   G2=(HR)

  Date ,  P(at least one from G1 going default|G2 default),  P(at least one from G2 going default|G1 default),  P(G1 going default|G2 default),  P(G2 going default|G1 default) 
 26/05/2016,  0.128529705357085,  0.265234415037512,  0.0343938876685938,  0.265234415037512, 
 27/05/2016,  0.11167046551307,  0.333671943685055,  0.0279257379308428,  0.333671943685055, 
 28/05/2016,  0.108450574222231,  0.353886311586734,  0.0258269111729766,  0.353886311586734, 
 29/05/2016,  0.0682600033629752,  0.37716823265828,  0.0125898717769512,  0.37716823265828, 
 30/05/2016,  0.0642633266440743,  0.437192893166684,  0.011111209426026,  0.437192893166684, 
 31/05/2016,  0.0585467467907922,  0.480126471679981,  0.00842845891819235,  0.480126471679981, 
 01/06/2016,  0.0557197064003757,  0.515379541416291,  0.00827017561927605,  0.515379541416291, 
 02/06/2016,  0.0583547523092455,  0.511558621908624,  0.00902052682287095,  0.511558621908624, 
 03/06/2016,  0.0472616467365732,  0.575482343217944,  0.00541528790921334,  0.575482343217944, 
 04/06/2016,  0.0492600804402661,  0.575331963171976,  0.00692223177473641,  0.575331963171976, 
 05/06/2016,  0.0499538687626781,  0.46588806719151,  0.00685020186698558,  0.46588806719151, 
 06/06/2016,  0.0668276285874304,  0.466902132185031,  0.0104509062483629,  0.466902132185031, 
 07/06/2016,  0.0738010146277463,  0.526292668403883,  0.0129150694824746,  0.526292668403883, 
 08/06/2016,  0.0678485645220487,  0.515922611174945,  0.0125764507418734,  0.515922611174945, 
 09/06/2016,  0.0628008924587753,  0.518548536344559,  0.0109284830277083,  0.518548536344559, 
 10/06/2016,  0.0723495482121077,  0.517719684070052,  0.0129498517277616,  0.517719684070052, 
 11/06/2016,  0.0744589472766388,  0.515647561594022,  0.0119872570533786,  0.515647561594022, 
 12/06/2016,  0.0659343344530767,  0.52024205365149,  0.00987768293002591,  0.52024205365149, 
 13/06/2016,  0.0700118813360995,  0.494323966443109,  0.0106715645966778,  0.494323966443109, 
 14/06/2016,  0.0657230698516035,  0.541457510424163,  0.00441680945323585,  0.541457510424163, 
 15/06/2016,  0.0464306378299915,  0.539047901315168,  0.00256313270050681,  0.539047901315168, 
 16/06/2016,  0.0442609714128158,  0.54076964901424,  0.00116377837239526,  0.54076964901424, 
 17/06/2016,  0.0409498547613435,  0.557412947319654,  0.00103674472612707,  0.557412947319654, 
 18/06/2016,  0.0454518708769621,  0.547833996454438,  0.00320617614244838,  0.547833996454438, 
 19/06/2016,  0.0274477329031105,  0.599568793771971,  0.00249240880181676,  0.599568793771971, 
